,Sample_num,Sample_num_S,tot_counts_cutcounted
233,11,S11,55656
234,223,S223,48618
235,222,S222,88992
236,82,S82,53032
237,83,S83,38940
238,67,S67,63604
239,66,S66,67156
240,254,S254,50210
241,255,S255,64859
242,173,S173,194942
243,172,S172,30213
244,88,S88,42510
245,89,S89,91772
246,229,S229,43133
247,228,S228,74065
248,147,S147,52733
249,146,S146,58903
250,260,S260,38109
251,261,S261,48384
252,2,S2,57362
253,3,S3,80053
254,53,S53,68742
255,52,S52,53225
256,217,S217,57976
257,216,S216,175708
258,179,S179,187706
259,24,S24,47453
260,178,S178,216456
261,25,S25,49100
262,285,S285,45620
263,284,S284,42924
264,130,S130,54746
265,131,S131,58722
266,234,S234,66049
267,235,S235,43576
268,95,S95,57132
269,94,S94,59089
270,181,S181,157062
271,180,S180,123974
272,113,S113,78050
273,112,S112,71649
274,298,S298,51044
275,299,S299,45607
276,302,S302,43492
277,39,S39,54824
278,164,S164,39127
279,38,S38,51226
280,165,S165,49478
281,303,S303,40419
282,243,S243,45320
283,242,S242,60424
284,70,S70,33577
285,71,S71,36755
286,44,S44,66409
287,119,S119,57387
288,45,S45,66155
289,118,S118,65114
290,277,S277,62877
291,276,S276,55690
292,150,S150,55962
293,151,S151,47580
294,127,S127,94623
295,126,S126,62010
296,249,S249,46853
297,248,S248,50179
298,33,S33,50718
299,32,S32,68356
300,292,S292,45154
301,293,S293,33157
302,200,S200,210055
303,201,S201,195598
